,Date,User,Tweets,LikeCount,RetweetCount
0,2022-07-03 14:58:32+00:00,tkz2634,"Hey! I would like to share this NFT collection with you! Check it out on @TheBinanceNFT https://t.co/hQGHyv92Xf @elonmusk
 
@cz
 
@CoinMarketCap
 
@VitalikButerin
 
@binance
 
@airdrop
 #ElonMusk #cz #BTC  #ETH #Airdrops @BinanceNFT",0,0
1,2022-07-03 14:58:29+00:00,Archangeloferf,@elonmusk you gonna pay LB? https://t.co/34nxorHNsG,0,0
2,2022-07-03 14:58:24+00:00,somethingpool,"Dogecoin (DOGE) Could Use Some Lift – An Elon Musk Tweet, Perhaps? / Market observers are seeing Dogecoin (DOGE) price retreating back into the red territory, expecting the meme coin to register new lows on a weekly, monthly and even yearly basis if some support does not come q… https://t.co/19BLyVEOSA",0,0
3,2022-07-03 14:58:22+00:00,sbate98,@Simbuilder @elonmusk @engineers_feed @B2science @HyperSkyMeta he built a glitch system right ?,0,0
4,2022-07-03 14:58:16+00:00,ParabolicMode,@thePike_1 @UncleCamm @Tesla @elonmusk @LucidMotors @Rivian What was the market share of EV in 2008 and EV market share today?,0,0
5,2022-07-03 14:58:16+00:00,Hml5868,"@RLGRIME @Airdrop_LC @elonmusk

Nice
Project https://t.co/TLOycywh3q",0,0
6,2022-07-03 14:58:15+00:00,Nchisiba,@elonmusk big people,0,0
7,2022-07-03 14:58:14+00:00,RockholdJones,@Spyderp_Man @FloridaK9Mom @kylenabecker @elonmusk https://t.co/vpCDeWi1mZ,0,0
8,2022-07-03 14:58:11+00:00,pinoconco87,"@elonmusk @Pontifex Is Twitter JAPAN in cahoots with vested interests in the industry?
If not, then his account should be unfrozen and Twitter should provide an open forum, like the message on the Twitter homepage.

#ガーシー 
#freedomofexpression 
#vestedinterests 
#twitterjapan",0,0
9,2022-07-03 14:58:11+00:00,DerMotzmichel,@Terax81 @Twitter @elonmusk Stimmt. Du bist niemand. 🖕🏾🚀 ...,0,0
10,2022-07-03 14:58:09+00:00,iluvccandja,@PA_P3RRY @elonmusk @Pontifex https://t.co/9KTj8pv4UQ,0,0
11,2022-07-03 14:58:08+00:00,CatsareComics,@SaltySion @Barr50ett @jackilewan @scrowder @elonmusk @jordanbpeterson There are other consequences beyond that,0,0
12,2022-07-03 14:58:08+00:00,P4LMTREEDELIGHT,@piiikaJ nahhh elon musk is crazy,0,0
13,2022-07-03 14:58:06+00:00,DavidMa19939586,@NftsLochan @Minty_NFTS @ParrotTools @elonmusk @Qw04O,0,0
14,2022-07-03 14:58:05+00:00,dannysaigal,@JerrBearr @gurgavin @elonmusk Giga Shanghai took over a year to reach volume production and is still ramping as capacity is expanded,0,0
15,2022-07-03 14:58:04+00:00,Jam3SGMA,@elonmusk I’ve jokingly stated this was more of a documentary rather then a comedy… apparently jokes on me!,0,0
16,2022-07-03 14:58:03+00:00,LibzMaddd,"@CStargg @R3B3LY3LL74 @HeatherAlexisR @MddleGrounded @scrowder @elonmusk @jordanbpeterson You are correct, it’s mental illness. Body and gender dysmorphia. However, it shouldn’t be celebrated. Just like schizophrenia or depression it should be treated.",0,0
17,2022-07-03 14:57:59+00:00,jmanfloppy,@Erdayastronaut @elonmusk Cant wait,0,0
18,2022-07-03 14:57:58+00:00,nikalos8,@elonmusk  yo you might wanna buy Snapchat cause people can pay to find your exact location get directions and find out your trail of where you been like this is fucked up bro,0,0
19,2022-07-03 14:57:57+00:00,Yale5620,@spideycyp_155 @elonmusk @RealTeslaNorth All mankind are beholden to him that is kind to the good   #GalaxyHeroes   #GHC .,0,0
20,2022-07-03 14:57:57+00:00,jrisbie,@slexington78 @BabyDogeCoin @elonmusk Not true do your research,0,0
21,2022-07-03 14:57:55+00:00,WhiiiteWolf,@Nervardia @JPUConn @scrowder @elonmusk @jordanbpeterson Her* surgeon,0,0
22,2022-07-03 14:57:52+00:00,KiGToPcLoNe,@elonmusk Yes now pls fight putin you goofy ah,0,0
23,2022-07-03 14:57:52+00:00,Some1one23,"@SpecNeedsTutor @Nishit27801 @0liviajulianna @elonmusk Sounds like what you are saying is there are times and places when running a business where free speech is not absolute. So I again ask, is Twitter a business or a country?",0,0
24,2022-07-03 14:57:51+00:00,SamuelHairsto13,@scrowder @elonmusk @jordanbpeterson True,0,0
